"Sport","Name","Height","Weight","Age"
"Hockey","Facundo Callioni",183,77,30
"Judo","Paula Beln Pareto",150,48,30
"Volleyball","Paula Yamila Nizetich",181,74,27
"Handball","Federico Matas Vieyra",192,90,28
"Volleyball","Sebastin Rodrigo Sol",200,94,25
"Cycling","Eduardo Seplveda",173,63,25
"Volleyball","Josefina Fernndez",175,72,24
"Tennis","Juan Mnaco",185,77,32
"Alpine Skiing","Macarena Mara Simari Birkner",168,60,29
"Hockey","Lucas Martn Rey",177,74,33
"Hockey","Agustina Albertario",165,55,23
"Hockey","Isidoro Ibarra",175,75,23
"Hockey","Lucas Martn Vila",172,75,29
"Cycling","Mara Gabriela Daz",160,53,35
"Football","Cristian Omar Espinoza",173,70,21
"Volleyball","Nicols Martn Bruno",187,85,27
"Athletics","Viviana Micaela Chvez",164,52,29
"Handball","Agustn Vidal",194,100,29
"Gymnastics","Ailen Valente",167,58,20
"Gymnastics","Ailen Valente",167,58,20
"Athletics","Germn Lujn Lauro",186,127,32
"Volleyball","Jos Lus Gonzlez",206,97,31
"Athletics","Brbara Roco Comba",180,100,29
"Golf","Emiliano Grillo",175,78,23
"Football","Lucas Daniel Romero",185,70,22
"Alpine Skiing","Macarena Mara Simari Birkner",168,60,29
"Volleyball","Emilce Sosa",177,72,28
"Boxing","Leandro Yamil Blanc",156,49,23
"Handball","Pablo Sebastin Portela",192,92,36
"Football","Jos Lus Gmez",173,63,22
"Athletics","Braian Ezequiel Toledo",187,100,22
"Shooting","Amelia Rosa Fournel",160,50,39
"Weightlifting","Joana Palacios",160,63,19
"Basketball","Emanuel David ""Manu"" Ginbili Maccari",198,91,39
"Cycling","Maximiliano Ariel Richeze",177,70,33
"Cycling","Eduardo Seplveda",173,63,25
"Handball","Adrin Portela",185,95,30
"Volleyball","Facundo Conte",197,88,26
"Football","Leandro Sebastin Vega",179,70,20
"Volleyball","Leticia Boscacci",186,70,30
"Volleyball","Pablo Crer",202,85,27
"Sailing","Mara Tejerina Mackern",169,63,22
"Athletics","Mara de los ngeles Peralta",167,49,38
"Gymnastics","Ailen Valente",167,58,20
"Rugby Sevens","Gastn Revol",170,79,29
"Handball","Gonzalo Matas Carou",190,100,36
"Hockey","Gonzalo Peillat",177,82,23
"Gymnastics","Ailen Valente",167,58,20
"Volleyball","Martn Ramos",197,94,24
"Sailing","Santiago Ral Lange Roberti",184,73,54
"Boxing","Yamil Alberto Peralta Jara",192,91,25
"Athletics","Beln Adaluz Casetta",163,52,21
"Alpine Skiing","Macarena Mara Simari Birkner",168,60,29
"Alpine Skiing","Macarena Mara Simari Birkner",168,60,29
"Athletics","Federico Bruno",185,66,23
"Synchronized Swimming","Etel Snchez",172,58,26
"Golf","Fabin Gmez",173,80,37
"Wrestling","Garnik Mnatsakanyan",161,57,26
"Judo","Hovhannes Davtyan",173,60,32
"Athletics","Diana Khubeseryan",170,60,22
"Wrestling","Artur Aleksanyan",190,98,24
"Boxing","Artur Hovhannisyan",160,49,20
"Weightlifting","Andranik Karapetyan",180,77,20
"Wrestling","Georgy Vazhayevich Ketoyev",190,100,30
"Wrestling","Arsen Julfalakyan",166,76,29
"Wrestling","Davit Safaryan",170,65,27
"Athletics","Amaliya Sharoyan",170,56,28
"Swimming","Vahan Mkhitaryan",186,92,19
"Athletics","Levon Aghasyan",193,75,21
"Wrestling","Levan Berianidze",186,125,25
"Boxing","Vladimir Margaryan",172,69,25
"Boxing","Narek Abgaryan",166,52,24
"Cross Country Skiing","Katya Galstyan",163,57,21
"Shooting","Hrachik Babayan",175,75,20
"Athletics","Lilit Harutyunyan",164,55,23
"Weightlifting","Ruben Aleksanyan",180,150,26
"Gymnastics","Harutyun Merdinyan",170,65,31
"Gymnastics","Houry A. Gebeshian",152,48,27
"Cross Country Skiing","Sergey Mikayelyan",180,65,21
"Gymnastics","Houry A. Gebeshian",152,48,27
"Weightlifting","Sona Poghosyan",158,75,18
"Wrestling","Migran Arutyunyan",166,67,27
"Gymnastics","Artur Davtyan",162,55,23
"Weightlifting","Nazeli ""Nazik"" Avdalyan",157,69,29
"Alpine Skiing","Arman Serebrakyan",176,76,26
"Alpine Skiing","Arman Serebrakyan",176,76,26
"Boxing","Hovhannes Bachkov",173,64,23
"Gymnastics","Houry A. Gebeshian",152,48,27
"Cross Country Skiing","Sergey Mikayelyan",180,65,21
"Cross Country Skiing","Artur Yeghoyan",180,83,23
"Weightlifting","Gor Minasyan",180,140,21
"Gymnastics","Houry A. Gebeshian",152,48,27
"Wrestling","Maksim Manukyan",177,86,28
"Boxing","Aram Avagyan",173,56,25
"Weightlifting","Arakel Mirzoyan",170,85,26
"Weightlifting","Simon Martirosyan",181,105,19
"Athletics","Gayane Chiloyan",164,54,15
"Sailing","Nicole van der Velden",168,62,21
"Swimming","Allyson Ponson",165,60,20
"Sailing","Philipine van Aanholt",171,65,24
"Sailing","Thijs Visser",184,88,26
"Taekwondo","Monica Fiorella Pimentel Rodriguez",171,49,27
"Judo","Jayme Mata",172,67,33
"Swimming","Mikel Schreuders",189,90,17
"Athletics","Jordan Mageo",172,68,19
"Weightlifting","Tanumafili Malietoa Jungblut",188,94,26
"Athletics","Isaac Phillipjunio Silafau",175,68,25
"Judo","Benjamin Waterhouse",172,71,31
"Rugby Sevens","Ellia Green",172,75,23
"Tennis","Samantha Jane Stosur",175,68,32
"Sailing","Mathew Belcher",173,62,33
"Hockey","Casey Eastham-Sablowski",170,62,27
"Rowing","Madeleine ""Maddie"" Edmunds",187,81,24
"Athletics","Fabrice Lapierre",179,69,32
"Athletics","Rachel Tallent",167,54,23
"Cross Country Skiing","Aimee Watson",169,60,26
"Cross Country Skiing","Aimee Watson",169,60,26
"Hockey","Timothy Deavin",185,77,32
"Basketball","Brock William Motum",208,107,25
"Bobsleigh","Gareth Nichols",185,102,30
"Water Polo","Richard ""Richie"" Campbell",193,99,28
"Water Polo","Isobel Bishop",180,72,24
"Alpine Skiing","Greta Small",181,70,18
"Cycling","Alexander ""Alex"" Edmondson",184,76,22
"Cycling","Patrick Constable",183,95,21
"Cycling","Patrick Constable",183,95,21
"Skeleton","Lucy Chaffer",167,58,30
"Freestyle Skiing","Lydia Ierodiaconou-Lassila",157,54,32
"Swimming","Georgia Bohl",167,54,19
"Athletics","Jared Tallent",178,58,31
"Basketball","Tessa Lavey",172,68,23
"Canoeing","Alyssa Bull",173,65,20
"Swimming","Kotuku Ngawati",165,60,22
"Alpine Skiing","Greta Small",181,70,18
"Snowboarding","Belle Brockhoff",170,70,21
"Cycling","Callum Scotson",184,77,19
"Alpine Skiing","Greta Small",181,70,18
"Cross Country Skiing","Callum Watson",180,66,24
